62007637,0.035135998143973904/|0.012433115935665533/-0.0|0.013097877414027513/0.0|0.009105675665574428/14.50641166813505
567329767,0.019244937072872753/|0.04625164982203971/0.0|0.0801702272339387/-3.380391355996972|0.11003287149708041/-1.9190026367184092|0.11615216852275421/0.0|0.11667551169282778/0|0.11739059848255706/0|0.11864261789879223/0.0|0.11927596653450989/0|0.11941963886514213/0.0|0.1194613156754982/0.0|0.11959864138087646/0.0|0.11963489171425631/0.0|0.11978051225485914/0.0|0.11989609482224105/0.0|0.1199782316585026/0.0|0.12005020294972168/0.0|0.12006375347846421/0.0|0.12008154132336467/0.0|0.12013834490748931/0.0|0.12024377782589539/0.0|0.12031022030269371/0.0|0.12036075089810527/0.0|0.12043380960686009/0.0|0.12046731364662251/0.0|0.12049229995322035/0.0|0.12053432341145645/0.0|0.12055930988732418/0.0|0.12059224530194516/0.0|0.12062026115270302/0.0|0.12065565752458243/0.0|0.12068613327371795/0.0|0.12070506431264211/0.0|0.12073800349587864/0.0|0.1207800225486696/0.0|0.12080557519561284/0.0|0.12083605090595159/0.0|0.1208580087433066/0|0.12086898783917963/0.0|0.12087996705192522/0.0|0.12061719184289117/0|0.1249995621456914/-13.190357232331536|0.13757203660038703/4.5620585894677195|0.13012757532793776/-42.193788415050605|0.10590858520395968/4.736869754775738|0.0881939392223785/3.2360936597923424|0.06005043315978112/2.0362723310465505|0.02474094414295225/-1.6228907062818179
62007648,0.06501640124731185/|0.025011786153639946/-5.73850616051168
78670326,0.003530369120307947/|0.024417271968173372/-2.7441929235201807|0.0727797933730652/1.1847989184824101|0.11327951997153093/4.248051396521012|0.15017410025295502/-1.5531494516525992|0.16659236350827136/3.4919201544150766|0.16454293209693102/-0.0|0.1616865700315179/44.442357754824506|0.1616424170618576/0
51881856,0.050058040142705575/
51881767,0.04868376178925444/|0.09583620151230007/0.0|0.14666016063500006/0.0|0.17557017289103155/0.0|0.1769002019850962/-48.75203732675532|0.17724017396640784/0.0|0.17768898867193456/0|0.17786476145321065/0|0.17848403916909947/0.0|0.17860870434841125/0.0|0.18782463822161882/0.0
51881765,0.026213700972874617/
51881771,0.0825378935053778/
51881768,0.13158958009111485/|0.1428139527830479/-5.111363393479723|0.14346046284777458/0.0|0.177168925448589/3.4014870469660945
51881825,0.04354319829986408/|0.11478747626363749/0.0
51881938,0.05794825832484398/
811768915,0.038414254731217665/
811768917,0.024200123959900684/|0.023986870830708492/-0.0|0.02351411205733989/0|0.02332306759166226/-0.0|0.023221813857941743/-0.0|0.023156567507771682/-0.0|0.02311457143945732/-0.0|0.023088895074797975/-0.0|0.02309414322280194/0.0|0.023095902582389107/0.0|0.022343281199781486/-0.0
778526449,0.02586564611049176/
51881935,0.013897861051026271/|0.054670103516161486/0.0
