3496,6/12/2009 6:12:49 AM,13,51.496868217364,9.38602223061025,200,23,339,62007637,T,0.035135998143973904,0.005190272925112678
3496,6/12/2009 6:12:54 AM,13,51.4966822229326,9.38615726307034,200,10,129,62007637,T,0.012433115935665533,0.0017685237575525948
3496,6/12/2009 6:12:59 AM,13,51.4967048540711,9.38642229884863,201,21,60,567329767,F,0.019244937072872753,0.008423739896251453
3496,6/12/2009 6:13:04 AM,13,51.4967492781579,9.38683996908367,201,0,360,567329767,F,0.04625164982203971,0.002591066893652627
3496,6/12/2009 6:13:09 AM,13,51.4968639425933,9.38729401677847,199,0,360,567329767,F,0.0801702272339387,0.003314464228046155
3496,6/12/2009 6:13:15 AM,13,51.4969302434474,9.38771596178412,198,5,89,567329767,F,0.11003287149708041,0.0002978900475122121
3496,6/12/2009 6:13:20 AM,13,51.4969574846327,9.38779382966459,198,1,288,567329767,F,0.11615216852275421,0.0006325655475172428
3496,6/12/2009 6:13:25 AM,13,51.4969521202147,9.3878052290529,197,0,310,567329767,F,0.11667551169282778,0.0002266198449390088
3496,6/12/2009 6:13:30 AM,13,51.4969490189105,9.38781813718379,196,0,274,567329767,F,0.11739059848255706,0.0008830844125711246
3496,6/12/2009 6:13:35 AM,13,51.4969443250448,9.38784018158913,196,0,226,567329767,F,0.11864261789879223,0.0019400618506565106
3496,6/12/2009 6:13:40 AM,13,51.4969411399215,9.3878517486155,197,0,201,567329767,F,0.11927596653450989,0.0025715374971901936
3496,6/12/2009 6:13:46 AM,13,51.4969385415316,9.3878554366529,197,0,182,567329767,F,0.11941963886514213,0.002941344055197867
3496,6/12/2009 6:13:51 AM,13,51.4969374518842,9.38785669393837,197,0,232,567329767,F,0.1194613156754982,0.003089108959159007
3496,6/12/2009 6:13:57 AM,13,51.4969362784177,9.38785945996642,197,0,202,567329767,F,0.11959864138087646,0.003283943744536628
3496,6/12/2009 6:14:03 AM,13,51.4969357755035,9.38786029815674,197,0,199,567329767,F,0.11963489171425631,0.003358664091589628
3496,6/12/2009 6:14:08 AM,13,51.496934518218,9.38786323182285,197,0,179,567329767,F,0.11978051225485914,0.0035666587241515338
3496,6/12/2009 6:14:13 AM,13,51.4969339314848,9.38786532729864,197,0,184,567329767,F,0.11989609482224105,0.0036820908123645856
3496,6/12/2009 6:14:19 AM,13,51.4969324227422,9.38786742277443,197,0,199,567329767,F,0.1199782316585026,0.0038956549700614055
3496,6/12/2009 6:14:25 AM,13,51.496931836009,9.38786884769797,197,0,178,567329767,F,0.12005020294972168,0.003994132046584847
3496,6/12/2009 6:14:31 AM,13,51.4969309978187,9.38786951825023,197,0,183,567329767,F,0.12006375347846421,0.004100298024201079
3496,6/12/2009 6:14:35 AM,13,51.4969305787236,9.38787002116442,197,0,194,567329767,F,0.12008154132336467,0.004157619761481222
3496,6/12/2009 6:14:41 AM,13,51.4969303272665,9.3878710269928,197,0,176,567329767,F,0.12013834490748931,0.0042098155704532155
3496,6/12/2009 6:14:47 AM,13,51.4969306625426,9.38787245191634,197,0,172,567329767,F,0.12024377782589539,0.004210160586714398
3496,6/12/2009 6:14:52 AM,13,51.4969308301806,9.38787337392569,197,0,177,567329767,F,0.12031022030269371,0.004215631542047644
3496,6/12/2009 6:14:56 AM,13,51.4969311654568,9.38787396065891,197,0,195,567329767,F,0.12036075089810527,0.004194782783104518
3496,6/12/2009 6:15:02 AM,13,51.496931668371,9.38787479884923,197,0,185,567329767,F,0.12043380960686009,0.004162449967760147
3496,6/12/2009 6:15:07 AM,13,51.496931836009,9.38787521794438,197,0,214,567329767,F,0.12046731364662251,0.004155204662707679
3496,6/12/2009 6:15:12 AM,13,51.4969319198281,9.38787555322051,197,0,190,567329767,F,0.12049229995322035,0.004154761064562294
3496,6/12/2009 6:15:18 AM,13,51.4969321712852,9.3878760561347,197,0,179,567329767,F,0.12053432341145645,0.0041407140332723495
3496,6/12/2009 6:15:23 AM,13,51.4969322551042,9.38787639141083,197,0,183,567329767,F,0.12055930988732418,0.0041402704465520425
3496,6/12/2009 6:15:27 AM,13,51.4969322551042,9.38787689432502,197,0,207,567329767,F,0.12059224530194516,0.004152986705522332
3496,6/12/2009 6:15:33 AM,13,51.4969324227422,9.38787722960114,197,0,191,567329767,F,0.12062026115270302,0.004143622024446727
3496,6/12/2009 6:15:38 AM,13,51.4969323389232,9.38787781633437,197,0,176,567329767,F,0.12065565752458243,0.0041673787537962045
3496,6/12/2009 6:15:43 AM,13,51.4969324227422,9.38787823542953,197,0,176,567329767,F,0.12068613327371795,0.004169054543816361
3496,6/12/2009 6:15:48 AM,13,51.4969323389232,9.38787857070565,197,0,184,567329767,F,0.12070506431264211,0.0041864531422565335
3496,6/12/2009 6:15:53 AM,13,51.4969323389232,9.38787907361984,197,0,185,567329767,F,0.12073800349587864,0.004199169401923802
3496,6/12/2009 6:15:58 AM,13,51.4969325903803,9.38787957653403,197,0,165,567329767,F,0.1207800225486696,0.004185122370650095
3496,6/12/2009 6:16:03 AM,13,51.4969328418374,9.38787982799113,197,0,190,567329767,F,0.12080557519561284,0.004164717209188065
3496,6/12/2009 6:16:08 AM,13,51.4969329256564,9.38788024708629,197,0,194,567329767,F,0.12083605090595159,0.004166392998459683
3496,6/12/2009 6:16:13 AM,13,51.4969329256564,9.38788058236241,198,0,199,567329767,F,0.1208580087433066,0.004174870503975107
3496,6/12/2009 6:16:18 AM,13,51.4969329256564,9.38788075000048,198,0,192,567329767,F,0.12086898783917963,0.004179109257440694
